GNSS Trajectory File
Position ECEF
END OF HEADER
1966   4410	   -4130636.58  2894953.12   -3890530.44
1966   4413	   -4130636.58  2894953.12   -3890530.44
1966   4472	   -4130636.58  2894953.12   -3890530.44
1966   4507	   -4130636.58  2894953.12   -3890530.44
1966   4538	   -4130636.58  2894953.12   -3890530.44
1966   4565	   -4130636.58  2894953.12   -3890530.44
1966   4593	   -4130636.58  2894953.12   -3890530.44
1966   4624	   -4130636.58  2894953.12   -3890530.44
1966   4656	   -4130636.58  2894953.12   -3890530.44
1966   4689	   -4130636.58  2894953.12   -3890530.44
