GNSS Trajectory File
Position ECEF
END OF HEADER
1966   4410	3194469.15   4487419.12   4487419.12 
1966   4440	3194468.25   3194469.15   4487419.12
1966   4470	3194467.35   3194469.15   4487419.12
1966   4500	3194466.15   3194469.15   4487419.12
1966   4530	3194465.15   3194469.15   4487419.12
1966   4560	3194469.150  3194459.150  4487419.120  
1966   4590	3194468.150  3194449.150  4487418.120  
1966   4620	3194467.150  3194439.150  4487417.120  
1966   4650	3194466.150  3194429.150  4487416.120  
1966   4680	3194465.150  3194419.150  4487415.120
