GNSS Trajectory File
Position ECEF
END OF HEADER
1966   4410	   -4130636.58  2894953.12   -3890530.44 
1966   4440	   -4130636.58  2894953.12   -3890530.44
1966   4470	   -4130636.58  2894953.12   -3890530.44
1966   4500	   -4130636.58  2894953.12   -3890530.44
1966   4530	   -4130636.58  2894953.12   -3890530.44
1966   4560	   -4130636.58  2894953.12   -3890530.44  
1966   4590	   -4130636.58  2894953.12   -3890530.44  
1966   4620	   -4130636.58  2894953.12   -3890530.44  
1966   4650	   -4130636.58  2894953.12   -3890530.44  
1966   4680	   -4130636.58  2894953.12   -3890530.44
